"filename", "language", "JSON with Comments", "TypeScript JSX", "TypeScript", "CSS", "XML", "Markdown", "JSON", "HTML", "comment", "blank", "total"
"f:\Projects\React\broker-crm-admin-ts\src\index.tsx", "TypeScript JSX", 0, 13, 0, 0, 0, 0, 0, 0, 0, 7, 20
"f:\Projects\React\broker-crm-admin-ts\src\logo.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"f:\Projects\React\broker-crm-admin-ts\src\models\client.model.ts", "TypeScript", 0, 0, 53, 0, 0, 0, 0, 0, 0, 4, 57
"f:\Projects\React\broker-crm-admin-ts\src\models\command.model.ts", "TypeScript", 0, 0, 86, 0, 0, 0, 0, 0, 0, 13, 99
"f:\Projects\React\broker-crm-admin-ts\src\models\comment.model.ts", "TypeScript", 0, 0, 14, 0, 0, 0, 0, 0, 0, 3, 17
"f:\Projects\React\broker-crm-admin-ts\src\models\company.model.ts", "TypeScript", 0, 0, 66, 0, 0, 0, 0, 0, 0, 5, 71
"f:\Projects\React\broker-crm-admin-ts\src\models\expense-config.model.ts", "TypeScript", 0, 0, 20, 0, 0, 0, 0, 0, 0, 4, 24
"f:\Projects\React\broker-crm-admin-ts\src\models\expense-user.model.ts", "TypeScript", 0, 0, 26, 0, 0, 0, 0, 0, 0, 4, 30
"f:\Projects\React\broker-crm-admin-ts\src\models\expense.model.ts", "TypeScript", 0, 0, 64, 0, 0, 0, 0, 0, 0, 6, 70
"f:\Projects\React\broker-crm-admin-ts\src\models\file.model.ts", "TypeScript", 0, 0, 23, 0, 0, 0, 0, 0, 0, 6, 29
"f:\Projects\React\broker-crm-admin-ts\src\models\goal.model.ts", "TypeScript", 0, 0, 24, 0, 0, 0, 0, 0, 0, 5, 29
"f:\Projects\React\broker-crm-admin-ts\src\models\motivation.model.ts", "TypeScript", 0, 0, 14, 0, 0, 0, 0, 0, 0, 3, 17
"f:\Projects\React\broker-crm-admin-ts\src\models\product.model.ts", "TypeScript", 0, 0, 60, 0, 0, 0, 0, 0, 0, 5, 65
"f:\Projects\React\broker-crm-admin-ts\src\models\report.model.ts", "TypeScript", 0, 0, 65, 0, 0, 0, 0, 0, 0, 9, 74
"f:\Projects\React\broker-crm-admin-ts\src\models\revenue.model.ts", "TypeScript", 0, 0, 25, 0, 0, 0, 0, 0, 0, 3, 28
"f:\Projects\React\broker-crm-admin-ts\src\models\speciality.model.ts", "TypeScript", 0, 0, 14, 0, 0, 0, 0, 0, 0, 3, 17
"f:\Projects\React\broker-crm-admin-ts\src\models\supplier.model.ts", "TypeScript", 0, 0, 50, 0, 0, 0, 0, 0, 0, 2, 52
"f:\Projects\React\broker-crm-admin-ts\src\models\task.model.ts", "TypeScript", 0, 0, 41, 0, 0, 0, 0, 0, 0, 7, 48
"f:\Projects\React\broker-crm-admin-ts\src\models\user-tracking.model.ts", "TypeScript", 0, 0, 20, 0, 0, 0, 0, 0, 0, 4, 24
"f:\Projects\React\broker-crm-admin-ts\src\models\user.model.ts", "TypeScript", 0, 0, 99, 0, 0, 0, 0, 0, 0, 11, 110
"f:\Projects\React\broker-crm-admin-ts\src\models\visit-task.model.ts", "TypeScript", 0, 0, 35, 0, 0, 0, 0, 0, 0, 4, 39
"f:\Projects\React\broker-crm-admin-ts\src\models\visit.model.ts", "TypeScript", 0, 0, 53, 0, 0, 0, 0, 0, 0, 6, 59
"f:\Projects\React\broker-crm-admin-ts\src\models\wilaya.model.ts", "TypeScript", 0, 0, 20, 0, 0, 0, 0, 0, 0, 3, 23
"f:\Projects\React\broker-crm-admin-ts\src\pages\clients-page\clients-page.component.tsx", "TypeScript JSX", 0, 992, 0, 0, 0, 0, 0, 0, 0, 58, 1050
"f:\Projects\React\broker-crm-admin-ts\src\pages\clients-page\clients-page.style.css", "CSS", 0, 0, 0, 35, 0, 0, 0, 0, 0, 8, 43
"f:\Projects\React\broker-crm-admin-ts\src\pages\command-page\command-page.component.tsx", "TypeScript JSX", 0, 437, 0, 0, 0, 0, 0, 0, 0, 44, 481
"f:\Projects\React\broker-crm-admin-ts\src\pages\command-page\command-page.style.css", "CSS", 0, 0, 0, 38, 0, 0, 0, 0, 0, 9, 47
"f:\Projects\React\broker-crm-admin-ts\src\pages\config-page\config-page.component.tsx", "TypeScript JSX", 0, 1437, 0, 0, 0, 0, 0, 0, 45, 54, 1536
"f:\Projects\React\broker-crm-admin-ts\src\pages\config-page\config-page.style.css", "CSS", 0, 0, 0, 16, 0, 0, 0, 0, 0, 3, 19
"f:\Projects\React\broker-crm-admin-ts\src\pages\delegate-page\delegate-page.component.tsx", "TypeScript JSX", 0, 466, 0, 0, 0, 0, 0, 0, 0, 37, 503
"f:\Projects\React\broker-crm-admin-ts\src\pages\delegate-page\delegate-page.style.css", "CSS", 0, 0, 0, 23, 0, 0, 0, 0, 0, 4, 27
"f:\Projects\React\broker-crm-admin-ts\src\pages\expense-page\expense-page.component.tsx", "TypeScript JSX", 0, 324, 0, 0, 0, 0, 0, 0, 0, 23, 347
"f:\Projects\React\broker-crm-admin-ts\src\pages\expense-page\expense-page.style.css", "CSS", 0, 0, 0, 16, 0, 0, 0, 0, 0, 3, 19
"f:\Projects\React\broker-crm-admin-ts\src\pages\home-page\home-page.component.tsx", "TypeScript JSX", 0, 524, 0, 0, 0, 0, 0, 0, 0, 49, 573
"f:\Projects\React\broker-crm-admin-ts\src\pages\home-page\home-page.style.css", "CSS", 0, 0, 0, 22, 0, 0, 0, 0, 0, 4, 26
"f:\Projects\React\broker-crm-admin-ts\src\pages\login-page\login-page.component.tsx", "TypeScript JSX", 0, 149, 0, 0, 0, 0, 0, 0, 0, 23, 172
"f:\Projects\React\broker-crm-admin-ts\src\pages\login-page\login-page.style.css", "CSS", 0, 0, 0, 25, 0, 0, 0, 0, 0, 3, 28
"f:\Projects\React\broker-crm-admin-ts\src\pages\plan-page\plan-page.component.tsx", "TypeScript JSX", 0, 586, 0, 0, 0, 0, 0, 0, 0, 55, 641
"f:\Projects\React\broker-crm-admin-ts\src\pages\plan-page\plan-page.style.css", "CSS", 0, 0, 0, 39, 0, 0, 0, 0, 0, 8, 47
"f:\Projects\React\broker-crm-admin-ts\src\pages\profile-page\profile-page.component.tsx", "TypeScript JSX", 0, 207, 0, 0, 0, 0, 0, 0, 0, 22, 229
"f:\Projects\React\broker-crm-admin-ts\src\pages\profile-page\profile-page.style.css", "CSS", 0, 0, 0, 24, 0, 0, 0, 0, 0, 5, 29
